"","gdp","gpc","gdp_cross","gpc_cross","gdp_growth_cross","gpc_growth_cross","EPI"
"1",9.62e+11,781.7441643,2.90524e+13,23608.67376186,278.7692307762,245.1801531938,30.2
"2",1.03e+12,828.5804793,3.1106e+13,25023.13047486,236.6959403538,205.5957508338,29.5
"3",1.09e+12,873.2870617,3.2155e+13,25761.96832015,226.1908420445,198.8084657965,28.8
"4",1.21e+12,959.3724836,3.4848e+13,27629.92752768,244.5554445696,220.032047664,28.2
"5",1.34e+12,1053.108243,3.7788e+13,29697.6524526,235.18547751,213.0736071504,27.5
"6",1.47e+12,1148.50829,4.0425e+13,31583.977975,251.0927634875,231.0526641775,26.9
"7",1.66e+12,1288.643252,4.4654e+13,34664.5034788,269.957721507,251.5785986478,26.3
"8",1.96e+12,1508.668098,5.1548e+13,39677.9709774,265.925176998,248.776303815,25.7
"9",2.29e+12,1753.417829,5.8853e+13,45062.8382053,292.871441658,276.083594367,25
"10",2.75e+12,2099.229435,6.875e+13,52480.735875,317.9869755,302.29590675,24.6
"11",3.55e+12,2695.365917,8.733e+13,66306.0015582,350.092145784,335.454083556,23.6
"12",4.6e+12,3471.248054,1.0856e+14,81921.4540744,227.8412292028,214.6153816072,22.6
"13",5.11e+12,3838.433972,1.15486e+14,86748.6077672,212.4357776646,200.1688739094,21.9
"14",6.1e+12,4560.512586,1.3359e+14,99875.2256334,232.931476074,221.257905768,20.9
"15",7.57e+12,5633.795717,1.58213e+14,117746.3304853,199.3116588672,188.3686493315,19.3
"16",8.56e+12,6337.883323,1.65208e+14,122321.1481339,151.625858723,141.5081979912,16
"17",9.61e+12,7077.770765,1.5376e+14,113244.33224,124.122162336,115.630983264,11.8
"18",1.05e+13,7683.502613,1.239e+14,90665.3308334,86.1124583162,79.7181853088,11.7
"19",1.11e+13,8069.213024,1.2987e+14,94409.7923808,80.7323963589,74.3930852652,11.6
"20",1.12e+13,8123.180873,1.2992e+14,94228.8981268,77.5964587704,70.9132502796,11.7
"21",NA,NA,NA,NA,NA,NA,NA
