year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BCI,-21.91534559,-21.95270822,-22.08490854,-22.2037094,-22.29814671,-22.38972442,-22.43761563,-22.4231273,-22.49722907,-22.60033684,-22.68842787,-22.68836459,-22.76197977,-22.8127375,,,,,,,
CDI,-20.88309591,-20.92582416,-21.02490114,-21.04604233,-21.07195894,-21.08219065,-21.02800756,-20.97432771,-20.95898574,-20.97581367,-21.01847805,-21.08860122,-21.10722045,-21.114727,-21.10687161,-21.1605294,-21.18911108,-21.24516501,,,
CEH,,,,,,,,,800.8365,798.8893,770.0181,733.4795,724.1727,718.7175,726.0319,698.4902,678.7991,652.7068,,,
CHI,-22.37789758,-22.46071297,-22.54098846,-22.63451942,-22.67587608,-22.7300751,-22.78908286,-22.83470981,-22.90040446,-23.00144815,-23.12175486,-23.20003341,-23.27661602,-23.36272243,-23.45599446,-23.52423541,-23.59184251,-23.64786513,,,
DBI,,,,,,,,,,-0.04663544,,,,-0.017582829,,,,,,,
DCI,,,,,,,,,,0.005310314,,,,,,,,-0.017123028,,,
DMI,,,,,,,,,,-0.030577489,,,,,,,,-0.08318969,,,
DNI,,,,,,,,,,-0.042596159,,,,,,,,-0.082368315,,,
DSI,,,,,,,,,,-0.042632221,,,,-0.016515805,,,,,,,
DXI,,,,,,,,,,-0.022606893,,,,-0.00888328,,,,,,,
FSS,4.589541046,5.489451055,6.830683068,7.41,8.469153085,10.62106211,12.73872613,14.27,14.47144714,15.26,16.84168417,18.18,18.78,16.48,14.71852815,12.69873013,11.27,8.609139086,,,
GDP,3.71E+12,4.00E+12,4.31E+12,4.67E+12,5.06E+12,5.52E+12,6.08E+12,6.69E+12,7.46E+12,8.41E+12,9.60E+12,1.05E+13,1.15E+13,1.27E+13,1.40E+13,1.51E+13,1.62E+13,1.74E+13,1.86E+13,,
HAD,,,,2823.742466,,,,,2025.099872,1851.680834,,,,1390.080902,,,,,,838.0016434,
MPA,,,,2.007927972,2.02067084,2.02067084,2.182657249,2.182657249,2.220090988,2.220090988,2.220090988,2.220090988,2.253503468,2.253503468,2.253503468,2.253503468,2.253503468,2.296594493,2.296594493,2.324018105,2.324018105
MTR,0.000936384,0,0,0,-0.000812961,0.000116077,0,0.00011607,0.000348149,0.001624036,0.001738425,0.001852602,0.001735207,0.001964296,0.00184555,0.00161216,0.001149822,0.001492366,,,
NOI,-23.06555732,-23.14296298,-23.18177522,-23.29168495,-23.35175765,-23.4381316,-23.52104689,-23.57957495,-23.66415277,-23.76204145,-23.8779698,-23.95290815,-24.02774899,-24.11049547,-24.21076604,-24.27481399,-24.34480107,-24.40536538,,,
NXI,-19.45318744,-19.47901943,-19.58848184,-19.65067617,-19.7420567,-19.7828788,-19.76670969,-19.73569153,-19.77589542,-19.82172827,-19.91177627,-19.95467926,-20.01489901,-20.08503777,,,,,,,
PAR,NA,NA,NA,0.079486367,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084842067,NA,0.086658733,NA,0.087036067,NA,0.0868849,
PBD,,,,298.4484806,,,,,269.6080388,,,,,241.274426,,,,,,208.3262902,
PME,,,,,,,,,,,,44.44587874,43.99346057,44.11639937,41.62749961,39.22047947,45.16353022,43.03317954,43.75224685,,
PMW,,,,,,,,,,,,81.88470007,81.50219975,80.64620709,78.41088765,77.14159343,80.14400747,80.07868079,76.14320961,,
POP,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,
SDI,-18.91359965,-18.98291706,-19.14092872,-19.26504478,-19.36068824,-19.44098747,-19.50041771,-19.48320507,-19.54840278,-19.60408335,-19.71965841,-19.72129627,-19.80876559,-19.86739332,,,,,,,
SHI,,,,,100,99.92,99.86,99.74,99.63,99.49,99.3,99.03,98.85,98.68,98.52,98.35,98.24,98.14,,,
SNM,,,,,,,,,,,,,,0.758297018,,,,,,,
SPI,10.09523058,10.26690811,10.5461364,11.16274963,11.5613168,11.82200108,12.12596839,12.14273868,12.14303235,12.20990772,12.23079754,12.23964098,12.23974763,12.25553177,12.25727873,12.25756727,12.2759347,12.2759347,,,
TBG,12.38285488,12.45634459,12.7751446,12.88699408,13.3022751,13.6551943,14.04949679,14.09372004,14.10202973,14.10216619,14.10342097,14.10655327,14.10838644,14.10840681,14.10840681,14.11455509,14.11455509,14.11616543,14.11616543,14.11794253,14.11794253
TBN,9.774997911,9.856348437,9.969747789,10.11701084,10.53953732,11.11574511,11.44205212,11.46750172,11.48073528,11.48096785,11.4831065,11.48844519,11.49156965,11.49160438,11.49160438,11.49247752,11.49247752,11.49522217,11.49522217,11.50044437,11.50044437
TCL,,,,,0.141502722,0.147299332,0.151813868,0.190902487,0.199862539,0.242254714,0.291879976,0.350402308,0.362453552,0.392465719,0.395333749,0.389434042,0.35297603,0.344622656,0.327742054,0.34249979,
TPI,,,,,,,,,,,,,,,,,,-0.021250944,,,
USD,,,,136.8969902,,,,,76.92988976,,,,,35.14180518,,,,,,21.01551157,
UWD,,,,146.982955,,,,,88.63647877,,,,,45.18233286,,,,,,30.6689088,
WWT,,,,,,,,,,,,,,,,,,,,16.128,
