,country1,country2,fragility1,fragility2
0,Sudan,Zimbabwe,2.9845600380523565,0.963793159498198
1,Tanzania,Cameroon,1.1360723672840327,0.9536323734630888
2,Nigeria,Central African Republic,2.112807287668019,0.9724527015564884
3,Zambia,Swaziland,1.455184411981833,0.966761263022804
4,Philippines,Djibouti,1.116217577786295,0.9648956229898227
5,Ecuador,Mali,0.9185202604535398,0.9543839947574554
6,Dominican Republic,Thailand,0.7362804653314742,0.9519356943448102
7,Lebanon,Thailand,1.1986282693136547,0.9519356943448102
8,Sri Lanka,Thailand,1.1756862878591137,0.9519356943448102
9,Bolivia,Thailand,0.9007668933116637,0.9519356943448102
10,Colombia,Thailand,0.9525759189013672,0.9519356943448102
11,Guatemala,South Africa,1.0899320409801352,0.9587156386198845
12,Botswana,Guyana,0.7021060865347157,0.9279375257677397
13,Moldova,Guyana,0.7575311865813957,0.9279375257677397
14,Serbia,Guyana,0.7623781940605422,0.9279375257677397
15,Peru,Guyana,0.7311967639199483,0.9279375257677397
16,Cuba,Guyana,0.6262179488070406,0.9279375257677397
17,Nicaragua,Guyana,0.8988376273755238,0.9279375257677397
18,Venezuela,Guyana,1.0216193179375899,0.9279375257677397
19,Azerbaijan,Bosnia and Herzegovina,0.8244069999390393,0.9663043712877537
20,Albania,Bosnia and Herzegovina,0.5822118106112477,0.9663043712877537
21,Paraguay,Bosnia and Herzegovina,0.7545334025114961,0.9663043712877537
22,Jordan,Bosnia and Herzegovina,0.9513451608625765,0.9663043712877537
23,Namibia,Bosnia and Herzegovina,0.8447805150973092,0.9663043712877537
24,Japan,Bosnia and Herzegovina,0.40400465284674997,0.9663043712877537
25,Kuwait,Bosnia and Herzegovina,0.5413517567813567,0.9663043712877537
26,Honduras,Bosnia and Herzegovina,0.9537395934998858,0.9663043712877537
27,Trinidad and Tobago,Bosnia and Herzegovina,0.5477658325635258,0.9663043712877537
28,El Salvador,Bosnia and Herzegovina,0.8392701249830147,0.9663043712877537
29,Morocco,Bosnia and Herzegovina,0.8335228287487277,0.9663043712877537
30,China,Bosnia and Herzegovina,0.8059398311818631,0.9663043712877537
31,Egypt,Uzbekistan,1.2488673171532698,0.9655647995898123
32,Georgia,Uzbekistan,0.8272266733426304,0.9655647995898123
33,Iran,Uzbekistan,1.043756911407128,0.9655647995898123
34,Algeria,Uzbekistan,0.8955861312233359,0.9655647995898123
35,Jamaica,Uzbekistan,0.6825117570636003,0.9655647995898123
36,Mexico,Uzbekistan,0.8205355223918629,0.9655647995898123
37,Turkey,Uzbekistan,0.9240164773913808,0.9655647995898123
38,Turkmenistan,Uzbekistan,0.7683203513962383,0.9655647995898123
39,Malaysia,Uzbekistan,0.6269193161359378,0.9655647995898123
40,Brazil,Uzbekistan,0.7149235066625725,0.9655647995898123
41,Suriname,Uzbekistan,0.6840115830002249,0.9655647995898123
42,Mongolia,Uzbekistan,0.5420437762820319,0.9655647995898123
43,Oman,Uzbekistan,0.4892760094087844,0.9655647995898123
44,Belize,Uzbekistan,0.6736308285668786,0.9655647995898123
45,Macedonia,Uzbekistan,0.6749297531264076,0.9655647995898123
46,Saudi Arabia,Uzbekistan,0.7097044621295832,0.9655647995898123
47,Belarus,Uzbekistan,0.7212382096121097,0.9655647995898123
48,Armenia,Uzbekistan,0.7359055308019411,0.9655647995898123
49,Ukraine,Uzbekistan,0.7625797492586326,0.9655647995898123
50,Bulgaria,Uzbekistan,0.5207887888592064,0.9655647995898123
51,Italy,Uzbekistan,0.4581559720980521,0.9655647995898123
52,Tunisia,Uzbekistan,0.7883766786139869,0.9655647995898123
53,South Korea,Uzbekistan,0.3807834975206398,0.9655647995898123
54,Montenegro,Uzbekistan,0.5310926090572144,0.9655647995898123
55,Kazakhstan,Uzbekistan,0.6326076025777426,0.9655647995898123
56,Estonia,Uzbekistan,0.44255926457709543,0.9655647995898123
57,Luxembourg,Uzbekistan,0.3328766945254809,0.9655647995898123
58,Mauritius,Uzbekistan,0.4141950804017662,0.9655647995898123
59,Poland,Uzbekistan,0.4177902721065072,0.9655647995898123
60,Cyprus,Uzbekistan,0.6090563647530325,0.9655647995898123
61,Croatia,Uzbekistan,0.5061538107118803,0.9655647995898123
62,Romania,Uzbekistan,0.4843278402812014,0.9655647995898123
63,Greece,Uzbekistan,0.5585049319357125,0.9655647995898123
64,Costa Rica,Uzbekistan,0.4370804386280404,0.9655647995898123
65,Hungary,Uzbekistan,0.5012676779562226,0.9655647995898123
66,Barbados,Uzbekistan,0.47825576992778074,0.9655647995898123
