,EPI,GDP,GDPpc,LandArea,Pop,PopDensity,PopGrowthRate,SDGI,country
0,37.74,60.28705023,1739.583177,652860.0,34.656032,53.08340532,2.689163473,46.8,Afghanistan
1,65.46,32.66991645,11359.09916,27400.0,2.876101,104.9671898,-0.159880412,68.9,Albania
2,57.18,565.284,13921.17608,2381741.0,40.606052,17.04889491,1.825463432,68.8,Algeria
3,37.44,172.438,5984.632947,1246700.0,28.813463,23.11178551,3.367572131,50.2,Angola
4,59.3,810.714,18489.43028,2736690.0,43.84743,16.0220668,0.984741906,72.5,Argentina
5,62.07,23.95494292,8190.239289,28470.0,2.924816,102.7332631,0.269302288,71.7,Armenia
6,74.12,1071.58,44413.84914,7682300.0,24.127159,3.140616612,1.410063834,75.9,Australia
7,78.97,388.015,44357.965,82523.0,8.747358,105.9990306,1.314006681,81.4,Austria
8,62.33,156.138,15994.01943,82663.0,9.762274,118.0972624,1.163574223,70.8,Azerbaijan
9,55.15,64.33731963,45143.579,771.0,1.425171,1848.470817,3.812796793,64.6,Bahrain
10,29.56,540.894,3319.354537,130170.0,162.95156,1251.836521,1.080165239,56.2,Bangladesh
11,55.76,4.773832887,16750.52593,430.0,0.284996,662.7813953,0.273711418,66.0,Barbados
12,64.98,159.171,16742.2942,202910.0,9.50712,46.8538761,0.184284342,77.1,Belarus
13,77.38,477.288,42058.62819,30280.0,11.348159,374.7740753,0.653895349,80.0,Belgium
14,57.79,2.879126894,7846.015833,22810.0,0.366954,16.0874178,2.111220431,66.0,Belize
15,38.17,21.85289913,2009.961384,112760.0,10.872298,96.41981199,2.763534181,49.5,Benin
16,47.22,6.584188915,8253.293783,38117.0,0.797765,20.92937534,1.309546955,65.5,Bhutan
17,55.98,73.03543539,6707.956184,1083300.0,10.887882,10.05066187,1.510046906,64.7,Bolivia
18,41.84,39.8364244,11327.41218,51200.0,3.516816,68.6878125,-0.54290805,65.5,Bosnia and Herzegovina
19,51.7,35.38137144,15723.23707,566730.0,2.25026,3.970603286,1.841666401,58.3,Botswana
20,60.7,2912.06,14023.69286,8358140.0,207.652865,24.84438703,0.817555711,69.5,Brazil
21,67.85,126.835,17794.3557,108560.0,7.127822,65.65790346,-0.701382098,72.5,Bulgaria
22,42.83,30.62090813,1642.185834,273600.0,18.646433,68.1521674,2.915614034,49.9,Burkina Faso
23,27.43,7.589746511,721.1765615,25680.0,10.524117,409.8176402,3.135333146,51.8,Burundi
24,43.23,54.61859125,3465.125565,176520.0,15.76237,89.29509404,1.564833471,58.2,Cambodia
25,40.81,78.44669479,3346.817793,472710.0,23.439189,49.58471156,2.613585149,52.8,Cameroon
26,72.18,1563.5,43087.73873,9093510.0,36.286425,3.990365107,1.213891076,78.0,Canada
27,36.42,2.976765097,647.8804448,622980.0,4.594621,7.375230344,1.06165489,36.7,Central African Republic
28,45.34,26.67816128,1845.914679,1259200.0,14.452543,11.47755956,3.114092441,41.5,Chad
29,57.49,406.672,22706.73288,743532.0,17.909754,24.08740175,0.824579726,71.6,Chile
30,50.74,19852.0,14399.43714,9388211.0,1378.665,146.850662,0.541478512,67.1,China
31,65.22,638.543,13124.31918,1109500.0,48.653419,43.85166201,0.876786632,64.8,Colombia
32,67.85,74.8092691,15401.4925,51060.0,4.857274,95.12875049,1.022696047,69.8,Costa Rica
33,45.25,81.15293531,3424.76421,318000.0,23.695919,74.51546855,2.510353568,53.3,Cote d'Ivoire
34,65.45,89.86469266,21547.18569,55960.0,4.1706,74.52823445,-0.788234222,76.9,Croatia
35,63.42,239.3704429,20858.38431,104020.0,11.475982,110.3247645,0.126866978,75.5,Cuba
36,72.6,26.68059236,22801.48903,9240.0,1.170125,126.6369048,0.784179797,70.6,Cyprus
37,67.68,331.137,31352.82205,77210.0,10.561633,136.7909986,0.147567084,81.9,Czech Republic
38,81.6,263.438,45966.24952,42262.0,5.731118,135.6092471,0.834637611,84.2,Denmark
39,40.04,3.178944562,3373.483218,23180.0,0.942333,40.65284728,1.595864748,49.6,Djibouti
40,64.71,150.136,14098.87752,48310.0,10.648791,220.4262265,1.137056669,67.2,Dominican Republic
41,57.42,170.802,10424.24725,248360.0,16.385068,65.97305524,1.479917408,69.0,Ecuador
42,61.21,987.436,10319.25605,995450.0,95.688681,96.12605455,2.016789456,64.9,Egypt
43,53.91,50.69431137,7989.997256,20720.0,6.344722,306.2124517,0.509497673,62.9,El Salvador
44,64.31,36.98661617,28095.06265,42390.0,1.316481,31.05640481,0.08161442,78.6,Estonia
45,44.78,164.694,1608.289648,1000000.0,102.403196,102.403196,2.501821378,53.5,Ethiopia
46,78.64,217.183,39523.05838,303890.0,5.495096,18.0825167,0.283654477,84.0,Finland
47,83.95,2545.99,38058.86528,547557.0,66.896109,122.1719547,0.407491036,80.3,France
48,45.05,33.23268922,16786.00072,257670.0,1.979786,7.683416773,2.537808568,65.1,Gabon
49,42.42,3.169632857,1554.884132,10120.0,2.038501,201.4329051,3.03358022,47.8,Gambia
50,55.69,34.50307669,9276.766243,69490.0,3.7193,64.96028552,0.059168417,68.6,Georgia
51,78.37,3658.9,44260.34187,348900.0,82.667685,236.9380482,1.193866758,81.7,Germany
52,49.66,112.268,3980.185153,227540.0,28.206728,123.9638217,2.236737965,59.9,Ghana
53,73.6,260.905,24277.59488,128900.0,10.74674,83.37269201,-0.687542545,72.9,Greece
54,52.33,122.159,7366.755819,107160.0,16.582469,154.7449515,2.010367845,58.3,Guatemala
55,46.62,22.60196905,1823.338788,245720.0,12.395924,50.44735471,2.48622533,48.8,Guinea
56,47.93,5.619078875,7266.335285,196850.0,0.773303,3.928387097,0.621217097,64.7,Guyana
57,33.74,17.94107659,1653.961848,27560.0,10.847334,393.5897678,1.264238966,44.1,Haiti
58,51.51,40.0261354,4392.265947,111890.0,9.112867,81.44487443,1.682462584,61.7,Honduras
59,65.01,251.868,25653.80703,90530.0,9.817958,108.4497736,-0.255022953,78.0,Hungary
60,78.57,15.13374348,45276.44855,100250.0,0.334252,3.334184539,1.033589277,79.3,Iceland
61,30.57,8067.71,6092.648037,2973190.0,1324.171354,445.3705797,1.148214693,58.1,India
62,46.92,2810.79,10764.54854,1811570.0,261.115456,144.1376574,1.137493711,62.9,Indonesia
63,58.16,1484.95,18497.72766,1628760.0,80.277428,49.28745058,1.1487886,64.7,Iran
64,43.2,598.475,16086.92539,434320.0,37.202572,85.65705471,2.965163696,56.6,Iraq
65,78.77,300.666,62991.83234,68890.0,4.773095,69.28574539,2.037334235,77.9,Ireland
66,76.96,2103.77,34715.33858,294140.0,60.60059,206.026348,-0.214276426,75.5,Italy
67,58.58,23.56838997,8179.62034,10830.0,2.881355,266.0530933,0.327499919,66.6,Jamaica
68,74.69,4857.83,38252.2832,364560.0,126.994511,348.350096,-0.115284177,80.2,Japan
69,62.2,79.33043971,8389.604574,88780.0,9.455802,106.5082451,3.185854645,66.0,Jordan
70,54.56,417.217,23443.06624,2699700.0,17.797032,6.592225803,1.431250879,71.1,Kazakhstan
71,47.25,141.779,2925.59669,569140.0,48.461567,85.14876305,2.560925398,54.9,Kenya
72,62.28,279.068,68861.74352,17820.0,4.052584,227.4177329,2.924206194,62.4,Kuwait
73,42.94,38.75592581,5734.522274,230800.0,6.758353,29.28229203,1.406426845,61.4,Laos
74,66.12,46.49657079,23717.60945,62180.0,1.960424,31.52820843,-0.868629779,75.2,Latvia
75,61.08,79.69578445,13267.8857,10230.0,6.006668,587.1620723,2.617573568,64.9,Lebanon
76,33.78,6.03043638,2736.354895,30360.0,2.203821,72.58962451,1.332723919,53.0,Lesotho
77,41.62,3.476780367,753.557379,96320.0,4.613823,47.9009863,2.50636265,42.8,Liberia
78,69.33,80.14887985,27904.09625,62650.0,2.872298,45.84673583,-1.129000251,73.6,Lithuania
79,79.12,55.24532687,94764.97477,2590.0,0.582972,225.0857143,2.319777521,75.0,Luxembourg
80,61.06,27.16968015,13054.77697,25220.0,2.081206,82.522046,0.091238733,69.4,Macedonia
81,33.73,34.76946297,1396.669615,581800.0,24.894551,42.78884668,2.688870712,43.5,Madagascar
82,49.21,19.60767469,1083.801421,94280.0,18.091575,191.8919707,2.904818605,48.0,Malawi
83,59.22,800.542,25668.87478,328550.0,31.187265,94.92395374,1.499323358,69.7,Malaysia
84,43.71,35.46934392,1971.08448,1220190.0,17.994837,14.74756964,2.971968633,48.5,Mali
85,80.9,15.61795686,35743.36671,320.0,0.436947,1365.459375,1.167802724,77.0,Malta
86,39.24,15.36444295,3572.28055,1030700.0,4.301018,4.172909673,2.798060125,51.1,Mauritania
87,56.63,24.72299486,19567.48966,2030.0,1.263473,622.4004926,0.068723138,62.1,Mauritius
88,59.69,2146.82,16832.4673,1943950.0,127.540423,65.60890095,1.301730941,69.1,Mexico
89,51.97,17.56228027,4944.335661,32870.0,3.552,123.5587139,-0.059329244,74.2,Moldova
90,57.51,34.39428811,11361.00642,1553560.0,3.027398,1.948684312,1.682874029,64.2,Mongolia
91,61.33,9.793141792,15724.8564,13450.0,0.622781,46.30342007,0.099924503,67.3,Montenegro
92,63.47,260.949,7397.187488,446300.0,35.276786,79.04276496,1.351228522,66.7,Morocco
93,46.37,32.52770083,1128.279294,786380.0,28.829476,36.6609985,2.881207724,49.2,Mozambique
94,45.32,280.559,5305.054684,653080.0,52.885223,80.9781696,0.914735351,59.5,Myanmar
95,58.46,24.43021954,9852.035111,823290.0,2.479713,3.01195569,2.207998983,59.3,Namibia
96,31.44,66.59233737,2297.652539,143350.0,28.982771,202.1818696,1.132886385,61.6,Nepal
97,75.46,805.017,47302.72068,33690.0,17.018408,505.1471653,0.4622438,79.9,Netherlands
98,75.96,165.518,35271.37895,263310.0,4.6927,17.82195891,2.088702607,77.6,New Zealand
99,55.04,31.59120583,5136.841574,120340.0,6.149928,51.10460362,1.110103051,63.1,Nicaragua
100,35.74,18.90476514,914.4670358,1266700.0,20.672987,16.32034973,3.826066467,44.8,Niger
101,54.76,1010.8,5434.71131,910770.0,185.98964,204.2114255,2.619033526,48.6,Nigeria
102,77.49,335.844,64178.97128,365245.0,5.232929,14.32717491,0.850589917,83.9,Norway
103,51.32,3.756071553,848.8753864,309500.0,4.424762,14.29648465,5.217720553,64.3,Oman
104,37.5,937.932,4854.633154,770880.0,193.203476,250.6271741,1.998562594,55.6,Pakistan
105,62.71,86.06768552,21334.93968,74340.0,4.034119,54.26579231,1.621103031,63.9,Panama
106,53.93,59.66275979,8871.37954,397300.0,6.725308,16.92753083,1.289844973,66.1,Paraguay
107,61.92,383.561,12071.59764,1280000.0,31.773839,24.82331172,1.257862325,66.0,Peru
108,57.65,747.673,7236.463352,298170.0,103.320222,346.5144783,1.564497131,64.3,Philippines
109,64.11,988.583,26050.97985,306190.0,37.948016,123.9361704,-0.101129367,75.8,Poland
110,71.91,279.847,27104.84686,91605.0,10.324611,112.7079417,-0.323604271,75.6,Portugal
111,67.8,303.769,118207.0695,11610.0,2.569804,221.3440138,3.495069918,63.1,Qatar
112,64.78,425.792,21607.99269,230080.0,19.705301,85.64543202,-0.557581505,74.1,Romania
113,63.79,3581.3,24811.14419,16376870.0,144.342396,8.813796287,0.170244546,68.9,Russia
114,43.68,21.13868558,1773.750484,24670.0,11.917508,483.0769355,2.445904867,55.0,Rwanda
115,57.47,1628.57,50458.10489,2149690.0,32.275687,15.01411227,2.251422474,62.7,Saudi Arabia
116,49.52,36.67118441,2379.451264,192530.0,15.411614,80.04785748,2.860609064,56.2,Senegal
117,57.49,96.84578427,13722.56349,87460.0,7.057412,80.69302538,-0.536587877,73.6,Serbia
118,42.54,10.12412009,1368.829098,72180.0,7.39619,102.4686894,2.175479241,47.1,Sierra Leone
119,64.23,456.676,81443.36571,709.0,5.607283,7908.720733,1.297436099,69.0,Singapore
120,67.57,61.80678355,29932.89256,20140.0,2.064845,102.524578,0.063656995,80.5,Slovenia
121,44.73,685.452,12260.16661,1213090.0,55.908865,46.08797781,1.617203497,61.2,South Africa
122,62.3,1792.87,34985.75988,97480.0,51.245707,525.7048318,0.451318044,75.5,South Korea
123,78.39,1548.87,33349.22417,500210.0,46.443959,92.84892145,-0.008048086,76.8,Spain
124,60.61,242.08,11417.25228,62710.0,21.203,338.1119439,1.124060307,65.9,Sri Lanka
125,51.49,173.607,4386.360304,2376000.0,39.578828,22.68897306,2.380439887,49.9,Sudan
126,54.2,7.749023291,13877.98601,156000.0,0.558368,3.579282051,0.928418221,70.4,Suriname
127,40.32,10.37360686,7723.64106,17200.0,1.343098,78.08709302,1.809667249,55.0,Swaziland
128,80.51,462.1,46662.05263,407310.0,9.903122,24.31347622,1.055073996,85.6,Sweden
129,87.42,480.81,57430.04919,39516.0,8.372098,211.866029,1.077221168,81.2,Switzerland
130,47.85,24.13104856,2762.585453,138786.0,8.734951,62.93827187,2.155884123,66.8,Tajikistan
131,50.83,139.38,2508.088532,885800.0,55.572201,62.73673628,3.092454074,52.1,Tanzania
132,49.88,1079.99,15683.05097,510890.0,68.863514,134.7912741,0.299465512,69.5,Thailand
133,49.54,2.51788156,1984.660767,14870.0,1.268671,85.31748487,2.207092325,61.5,Timor-Leste
134,41.78,10.51284365,1382.109747,54390.0,7.606374,139.848759,2.523861304,50.2,Togo
135,67.36,41.58323861,30464.75917,5130.0,1.364962,266.0744639,0.35742449,69.1,Trinidad and Tobago
136,62.35,122.608,10752.02434,155360.0,11.403248,73.39886715,1.142910708,68.7,Tunisia
137,52.96,1888.94,23756.53838,769630.0,79.512426,103.3125346,1.5730117,68.5,Turkey
138,66.1,88.60960132,15648.37312,469930.0,5.662544,12.0497606,1.732524453,56.7,Turkmenistan
139,44.28,69.99362951,1687.082736,200520.0,41.487965,206.9018801,3.290872381,52.9,Uganda
140,52.87,327.215,7270.693947,579290.0,45.004645,77.68931796,-0.33138051,72.7,Ukraine
141,58.9,622.297,67133.01484,83600.0,9.269612,110.8805263,1.251759052,66.0,United Arab Emirates
142,79.89,2574.94,39229.86462,241930.0,65.637239,271.3067375,0.777541827,78.3,United Kingdom
143,71.19,17236.2,53341.79018,9147420.0,323.127513,35.32444263,0.692801346,72.4,United States
144,64.65,69.04173629,20046.92683,175020.0,3.444006,19.6777854,0.362269175,71.0,Uruguay
145,45.88,192.327,6038.865619,425400.0,31.8482,74.86647861,1.739791235,71.2,Uzbekistan
146,63.89,443.8400821,14059.73028,882050.0,31.568179,35.78955728,1.31705725,65.8,Venezuela
147,50.97,60.50817421,3646.962323,743390.0,16.59139,22.31855419,3.002815515,51.1,Zambia
148,43.41,30.35667456,1879.62812,386850.0,16.150362,41.74838309,2.33606955,56.1,Zimbabwe
